encoding_method,fraction,train_samples,test_samples,auc,f1,accuracy,precision,recall,training_time_sec,seed,dataset_id,timestamp,mode
tfidf,0.5,200000,50000,0.5028695423992391,0.507660373628546,0.5019,0.4999610622225683,0.5156005300566197,14.439164161682127,9551,kip_m4,2026-09-10T15:14:37.334624,ordered
tfidf,0.75,300000,50000,0.5029333345595918,0.507468584525409,0.50144,0.4995137889455054,0.5156808416656627,16.29307222366333,9551,kip_m4,2026-09-10T15:14:53.861211,ordered
tfidf,1.0,400000,50000,0.5001907180711461,0.5013885582797747,0.49728,0.4954329844368654,0.5074890575432679,24.64059543609619,9551,kip_m4,2026-09-10T15:15:18.759857,ordered
basic,0.01,4000,50000,0.4978117846577309,0.4174216839408408,0.49974,0.4969498669032831,0.3598361643175521,1.424229860305786,9552,kip_m4,2026-09-10T15:15:28.901599,ordered
basic,0.1,40000,50000,0.5000192346895667,0.4680887263137747,0.49978,0.4975585495976128,0.4419146287595872,1.5832242965698242,9552,kip_m4,2026-09-10T15:15:30.702686,ordered
basic,0.3,120000,50000,0.4972566435004139,0.4585877327350003,0.4981,0.4955240581872435,0.4267758904549653,5.3622002601623535,9552,kip_m4,2026-09-10T15:15:36.282513,ordered
basic,0.5,200000,50000,0.5020942707279892,0.4796770077191808,0.50254,0.5006550218340612,0.4603862988394973,7.204220771789551,9552,kip_m4,2026-09-10T15:15:43.713204,ordered
basic,0.75,300000,50000,0.5077118248968967,0.4981939202078006,0.50544,0.5035897435897436,0.4929125005019475,5.10801887512207,9552,kip_m4,2026-09-10T15:15:49.048983,ordered
basic,1.0,400000,50000,0.509364857782315,0.492552624020352,0.50532,0.5035446117706279,0.4820302774766092,7.676213026046753,9552,kip_m4,2026-09-10T15:15:56.944968,ordered
categorical,0.01,4000,50000,0.504659903752055,0.4958681050274781,0.50464,0.5027861476864656,0.4891378548769224,1.3319618701934814,9552,kip_m4,2026-09-10T15:15:58.492861,ordered
categorical,0.1,40000,50000,0.5003362938627024,0.463656836461126,0.49986,0.4976061136175306,0.4340440910733646,1.6910550594329834,9552,kip_m4,2026-09-10T15:16:00.398990,ordered
categorical,0.3,120000,50000,0.5062621174724213,0.5153040242827769,0.50498,0.5029049766837398,0.5283299200899491,2.4700701236724854,9552,kip_m4,2026-09-10T15:16:03.084654,ordered
categorical,0.5,200000,50000,0.5042382942049763,0.4989042362828478,0.50154,0.4995973262462753,0.4982130666987913,3.7650907039642334,9552,kip_m4,2026-09-10T15:16:07.073523,ordered
categorical,0.75,300000,50000,0.4974706187216824,0.4925903492832627,0.49736,0.4953506314207983,0.4898606593583102,4.430177450180054,9552,kip_m4,2026-09-10T15:16:11.726456,ordered
categorical,1.0,400000,50000,0.4985146648391704,0.4969986549155809,0.4989,0.4969487714790429,0.4970485483676665,9.070337772369385,9552,kip_m4,2026-09-10T15:16:21.016497,ordered
tfidf,0.01,4000,50000,0.4988028939782872,0.5240023574592673,0.49926,0.4975808781051415,0.5533871421113922,5.431462049484253,9552,kip_m4,2026-09-10T15:16:26.667523,ordered
tfidf,0.1,40000,50000,0.5031535914754275,0.2785960241905147,0.50138,0.4985501242750621,0.1933100429667108,8.355096817016602,9552,kip_m4,2026-09-10T15:16:35.240757,ordered
tfidf,0.3,120000,50000,0.5041965703768491,0.4937436315467699,0.50316,0.5012620515579096,0.486447415973979,11.132409572601318,9552,kip_m4,2026-09-10T15:16:46.599318,ordered
tfidf,0.5,200000,50000,0.4996585044589895,0.4953980300339092,0.5,0.4980317357250111,0.4927920330883829,14.373739957809448,9552,kip_m4,2026-09-10T15:17:01.204845,ordered
tfidf,0.75,300000,50000,0.5030909777328152,0.5185270869481395,0.50052,0.4986835762227908,0.5400152592057181,24.52891492843628,9552,kip_m4,2026-09-10T15:17:25.969306,ordered
tfidf,1.0,400000,50000,0.5007621714740342,0.479895431345699,0.49864,0.4964584674822923,0.4644018792916516,26.35766077041626,9552,kip_m4,2026-09-10T15:17:52.585575,ordered
basic,0.01,4000,50000,0.5026925511238656,0.4163779380091769,0.5014,0.5032539188500934,0.3550808544619684,1.451188564300537,9550,kip_m6,2026-09-10T15:18:02.694916,ordered
basic,0.1,40000,50000,0.5039375519576683,0.5324297795228028,0.5046,0.50492284558376,0.5631064084647635,4.909235000610352,9550,kip_m6,2026-09-10T15:18:07.821213,ordered
basic,0.3,120000,50000,0.5032564457508842,0.5169191479482268,0.50062,0.5014263193453945,0.5333998802156119,5.606598854064941,9550,kip_m6,2026-09-10T15:18:13.659309,ordered
basic,0.5,200000,50000,0.497693637327385,0.5026954982195787,0.50002,0.5009118300031716,0.5044919145538032,4.180329322814941,9550,kip_m6,2026-09-10T15:18:18.092263,ordered
basic,0.75,300000,50000,0.5008378291145663,0.4653827244939401,0.49978,0.5007820406661146,0.4346576162906768,9.380429983139038,9550,kip_m6,2026-09-10T15:18:27.719402,ordered
