icd_code,icd_version,Description,classification
I63532,10,Cerebral infarction due to unspecified occlusion or stenosis of left posterior cerebral artery,stroke
I63531,10,Cerebral infarction due to unspecified occlusion or stenosis of right posterior cerebral artery,stroke
I63522,10,Cerebral infarction due to unspecified occlusion or stenosis of left anterior cerebral artery,stroke
I6350,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery,stroke
I63521,10,Cerebral infarction due to unspecified occlusion or stenosis of right anterior cerebral artery,stroke
I63541,10,Cerebral infarction due to unspecified occlusion or stenosis of right cerebellar artery,stroke
I63542,10,Cerebral infarction due to unspecified occlusion or stenosis of left cerebellar artery,stroke
I6359,10,Cerebral infarction due to unspecified occlusion or stenosis of other cerebral artery,stroke
I63549,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebellar artery,stroke
I63539,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified posterior cerebral artery,stroke
I63529,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified anterior cerebral artery,stroke
I6789,10,Other cerebrovascular disease,stroke
