timestamp,model,training_mode,task,seed,train_rows,epochs_done,best_epoch,val_f1,val_auc,val_loss,test_auc_obs,test_auc_latent,test_f1,test_precision,test_recall,threshold,n_params,recipe,wallclock_s,checkpoint,smoke,host
2026-08-26T15:15:19,all_offset_pair_xgb,baseline,ocnoisy,9550,400000,1,1,,,,0.668537,0.998788,,,,n/a,0,xgb on all_offset_pair_xgb (phase2 settings),122.6,/root/LLMSeq/checkpoints/oc_completion/oc_noisy/baselines/all_offset_pair_xgb.joblib,False,plain-work-runs-fin-03
2026-08-26T15:15:25,pos_lag_pair,baseline,ocdet,9550,400000,1,1,,,,0.99721,0.99721,,,,n/a,8788,logreg on pos_lag_pair (phase2 settings),5.7,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/pos_lag_pair.joblib,False,plain-work-runs-fin-03
2026-08-26T15:15:25,pos_lag_pair,baseline,ocnoisy,9550,400000,1,1,,,,0.663039,0.982893,,,,n/a,8788,logreg on pos_lag_pair (phase2 settings),5.7,/root/LLMSeq/checkpoints/oc_completion/oc_noisy/baselines/pos_lag_pair.joblib,False,plain-work-runs-fin-03
2026-08-26T15:15:30,lag_trigram,baseline,ocdet,9550,400000,1,1,,,,0.961369,0.961369,,,,n/a,17576,logreg on lag_trigram (phase2 settings),5.5,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/lag_trigram.joblib,False,plain-work-runs-fin-03
2026-08-26T15:15:31,lag_trigram,baseline,ocnoisy,9550,400000,1,1,,,,0.650087,0.942877,,,,n/a,17576,logreg on lag_trigram (phase2 settings),5.4,/root/LLMSeq/checkpoints/oc_completion/oc_noisy/baselines/lag_trigram.joblib,False,plain-work-runs-fin-03
2026-08-26T15:15:34,lag_trigram_key,baseline,ocdet,9550,400000,1,1,,,,0.535954,0.535954,,,,n/a,216,logreg on lag_trigram_key (phase2 settings),4.0,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/lag_trigram_key.joblib,False,plain-work-runs-fin-03
2026-08-26T15:15:35,lag_trigram_key,baseline,ocnoisy,9550,400000,1,1,,,,0.511942,0.535,,,,n/a,216,logreg on lag_trigram_key (phase2 settings),4.0,/root/LLMSeq/checkpoints/oc_completion/oc_noisy/baselines/lag_trigram_key.joblib,False,plain-work-runs-fin-03
2026-08-26T15:15:37,kgram1,baseline,ocdet,9550,400000,1,1,,,,0.750913,0.750913,,,,n/a,26,contiguous 1-gram probability averaging (signal_decomposition.kgram_baseline),3.2,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/kgram1.joblib,False,plain-work-runs-fin-03
2026-08-26T15:15:38,kgram1,baseline,ocnoisy,9550,400000,1,1,,,,0.58858,0.751249,,,,n/a,26,contiguous 1-gram probability averaging (signal_decomposition.kgram_baseline),3.1,/root/LLMSeq/checkpoints/oc_completion/oc_noisy/baselines/kgram1.joblib,False,plain-work-runs-fin-03
2026-08-26T15:15:41,kgram2,baseline,ocdet,9550,400000,1,1,,,,0.755767,0.755767,,,,n/a,676,contiguous 2-gram probability averaging (signal_decomposition.kgram_baseline),3.7,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/kgram2.joblib,False,plain-work-runs-fin-03
2026-08-26T15:15:41,kgram2,baseline,ocnoisy,9550,400000,1,1,,,,0.589184,0.753955,,,,n/a,676,contiguous 2-gram probability averaging (signal_decomposition.kgram_baseline),3.7,/root/LLMSeq/checkpoints/oc_completion/oc_noisy/baselines/kgram2.joblib,False,plain-work-runs-fin-03
2026-08-26T15:15:45,kgram3,baseline,ocdet,9550,400000,1,1,,,,0.754279,0.754279,,,,n/a,17576,contiguous 3-gram probability averaging (signal_decomposition.kgram_baseline),4.0,/root/LLMSeq/checkpoints/oc_completion/oc_deterministic/baselines/kgram3.joblib,False,plain-work-runs-fin-03
2026-08-26T15:15:45,kgram3,baseline,ocnoisy,9550,400000,1,1,,,,0.580432,0.729612,,,,n/a,17576,contiguous 3-gram probability averaging (signal_decomposition.kgram_baseline),4.0,/root/LLMSeq/checkpoints/oc_completion/oc_noisy/baselines/kgram3.joblib,False,plain-work-runs-fin-03
