model,training_mode,seed,task,family,background,split,group_keys,orientation,n_pairs,win_rate,tie_rate,loss_rate,pair_accuracy,win_rate_tol1e-06,tie_rate_tol1e-06,loss_rate_tol1e-06,pair_accuracy_tol1e-06,win_rate_tol1e-10,tie_rate_tol1e-10,loss_rate_tol1e-10,pair_accuracy_tol1e-10,mean_margin,median_margin,std_margin,flattened_auc,pair_accuracy_ci_lo,pair_accuracy_ci_hi,kappa_gap,chain_r,chain_s
oracle,oracle,0,ocdet,two_hole,clean,test,chain_r+chain_s,,348,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,6.0
oracle,oracle,0,ocdet,two_hole,clean,test,chain_r+chain_s,,325,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,1.0
oracle,oracle,0,ocdet,two_hole,clean,test,chain_r+chain_s,,362,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,2.0
oracle,oracle,0,ocdet,two_hole,clean,test,chain_r+chain_s,,305,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,3.0
oracle,oracle,0,ocdet,two_hole,clean,test,chain_r+chain_s,,334,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,4.0
oracle,oracle,0,ocdet,two_hole,clean,test,chain_r+chain_s,,333,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,5.0,6.0
oracle,oracle,0,ocdet,two_hole,clean,test,chain_r+chain_s,,322,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,1.0
oracle,oracle,0,ocdet,two_hole,clean,test,chain_r+chain_s,,351,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,2.0
oracle,oracle,0,ocdet,two_hole,clean,test,chain_r+chain_s,,327,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,3.0
oracle,oracle,0,ocdet,two_hole,clean,test,chain_r+chain_s,,299,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,4.0
oracle,oracle,0,ocdet,two_hole,clean,test,chain_r+chain_s,,333,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,6.0,5.0
oracle,oracle,0,ocdet,two_hole,heldout,val,orientation,1.0,1030,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,
oracle,oracle,0,ocdet,two_hole,heldout,val,orientation,2.0,970,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,
oracle,oracle,0,ocdet,two_hole,heldout,val,kappa_gap,,613,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,
oracle,oracle,0,ocdet,two_hole,heldout,val,kappa_gap,,557,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,,
oracle,oracle,0,ocdet,two_hole,heldout,val,kappa_gap,,432,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,,
oracle,oracle,0,ocdet,two_hole,heldout,val,kappa_gap,,251,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,,
oracle,oracle,0,ocdet,two_hole,heldout,val,kappa_gap,,147,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,,
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,78,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,2.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,73,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,3.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,59,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,4.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,64,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,5.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,65,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,6.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,70,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,1.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,75,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,3.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,70,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,4.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,73,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,5.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,73,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,2.0,6.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,73,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,1.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,64,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,2.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,67,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,4.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,71,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,5.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,62,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,3.0,6.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,67,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,1.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,62,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,2.0
oracle,oracle,0,ocdet,two_hole,heldout,val,chain_r+chain_s,,58,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,4.0,3.0
